"","CPU","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Score","Quartile"
"780","AMD Phenom 9600B Quad-Core",2009-03-31,39.95,2009-03-31,39.95,1822,"Second Quartile"
"781","AMD Athlon 64 X2 Dual Core 5200+",2008-12-31,60,2008-12-31,60,840,"Second Quartile"
"782","Intel Celeron G1101 @ 2.27GHz",2011-06-30,19.77,2011-06-30,19.77,1086,"First Quartile"
"783","Intel Pentium E2220 @ 2.40GHz",2014-11-14,46.99,2021-06-10,302.5,846,"First Quartile"
"784","AMD Athlon 5200 Dual-Core",2018-04-28,73.86,2019-01-23,71.59,869,"First Quartile"
"785","AMD Athlon II X4 600e",2010-10-15,123.99,2022-05-04,19.99,1795,"Second Quartile"
"786","AMD Athlon II X3 400e",2009-12-31,25.49,2009-12-31,25.49,1320,"First Quartile"
"787","Intel Core2 Duo E6550 @ 2.33GHz",2014-12-09,32.99,2021-05-30,19.99,885,"First Quartile"
"788","AMD Athlon Dual Core 5050e",2009-03-31,60,2009-03-31,60,809,"Second Quartile"
"789","AMD Phenom 9650 Quad-Core",2010-07-30,140.65,2021-05-13,31.17,1713,"Second Quartile"
"790","AMD Athlon Dual Core 4850e",2009-03-31,39,2009-03-31,39,783,"Second Quartile"
"791","AMD Phenom 8600 Triple-Core",2009-03-31,52.99,2009-03-31,52.99,1210,"Second Quartile"
"792","AMD Athlon 5000 Dual-Core",2010-08-05,38.99,2020-11-21,70.99,872,"First Quartile"
"793","AMD A6-3600 APU",2011-12-31,24.95,2011-12-31,24.95,1645,"First Quartile"
"794","AMD Athlon 64 X2 Dual Core 5000+",2008-12-31,331.49,2008-12-31,331.49,776,"Third Quartile"
"795","AMD Phenom 9600 Quad-Core",2008-12-31,39.99,2008-12-31,39.99,1577,"First Quartile"
"796","AMD Athlon 64 X2 Dual Core 4800+",2008-12-31,149.95,2008-12-31,149.95,679,"Second Quartile"
"797","AMD Phenom 8650 Triple-Core",2010-08-04,49.99,2021-05-30,19,1237,"First Quartile"
"798","AMD Phenom 9550 Quad-Core",2010-08-04,99.97,2023-04-15,26.81,1656,"Second Quartile"
"799","AMD Phenom 9500 Quad-Core",2018-11-01,28.99,2021-05-30,29.99,1549,"First Quartile"
"800","Intel Celeron G470 @ 2.00GHz",2014-03-31,35.15,2014-03-31,35.15,568,"First Quartile"
"801","AMD Phenom 9450e Quad-Core",2010-03-31,105,2010-03-31,105,1455,"Second Quartile"
"802","AMD Phenom 8450 Triple-Core",2010-07-20,50.99,2023-03-08,16.97,1216,"First Quartile"
"803","AMD Athlon 64 X2 Dual Core 4600+",2008-12-31,349.95,2008-12-31,349.95,720,"Third Quartile"
"804","AMD Phenom X3 8550",2009-06-30,29.95,2009-06-30,29.95,1079,"First Quartile"
"805","Intel Core2 Duo E4500 @ 2.20GHz",2012-09-30,129.99,2021-05-30,11,744,"Second Quartile"
"806","Intel Core2 Duo E6400 @ 2.13GHz",2014-11-14,56.99,2021-05-30,42.5,765,"First Quartile"
"807","Intel Celeron G465 @ 1.90GHz",2018-07-14,29.99,2022-04-09,37,547,"First Quartile"
"808","Intel Pentium E2200 @ 2.20GHz",2017-10-25,157.95,2021-08-14,65.99,725,"Second Quartile"
"809","Intel Celeron J3455 @ 1.50GHz",2017-04-13,236.83,2017-10-24,233.52,2256,"Third Quartile"
"810","AMD Athlon Dual Core 4450e",2009-03-31,14.48,2009-03-31,14.48,705,"First Quartile"
"811","AMD Phenom 9350e Quad-Core",2009-03-31,382.07,2009-03-31,382.07,1550,"Third Quartile"
"812","AMD Athlon Dual Core 4450B",2009-03-31,31,2009-03-31,31,711,"First Quartile"
"813","AMD Athlon II X2 270u",2010-12-31,67.67,2010-12-31,67.67,675,"First Quartile"
"814","Intel Core2 Duo E6420 @ 2.13GHz",2017-10-25,157.95,2021-05-30,39.99,760,"Second Quartile"
"815","AMD Athlon 64 X2 Dual Core 4200+",2008-12-31,109.95,2008-12-31,109.95,689,"Second Quartile"
"816","Intel Core2 Duo E4400 @ 2.00GHz",2017-10-25,157.95,2021-05-30,42.5,673,"Second Quartile"
"817","AMD Athlon 64 X2 Dual Core 4400+",2008-12-31,298.95,2008-12-31,298.95,677,"Third Quartile"
"818","Intel Celeron E1500 @ 2.20GHz",2009-06-30,19.65,2009-06-30,19.65,626,"First Quartile"
"819","Intel Celeron E1400 @ 2.00GHz",2016-07-01,80,2018-04-22,635,735,"First Quartile"
"820","AMD Athlon 5370 APU",2016-06-09,53.48,2017-01-03,52.98,1867,"First Quartile"
"821","Intel Pentium E2180 @ 2.00GHz",2018-04-22,230,2021-05-30,17.99,687,"Second Quartile"
"822","Intel Celeron G440 @ 1.60GHz",2012-02-03,40.99,2022-06-25,91,425,"First Quartile"
"823","AMD Phenom 9100e Quad-Core",2009-03-31,34.95,2009-03-31,34.95,1279,"First Quartile"
"824","AMD Phenom 8250e Triple-Core",2009-09-30,46.99,2009-09-30,46.99,1084,"Second Quartile"
"825","AMD Phenom 9150e Quad-Core",2009-03-31,247.5,2009-03-31,247.5,1414,"Third Quartile"
"826","AMD Athlon II 170u",2010-12-31,24,2010-12-31,24,340,"First Quartile"
"827","AMD Athlon II 160u",2010-06-30,29.99,2010-06-30,29.99,358,"First Quartile"
"828","AMD Athlon II X2 260u",2010-12-31,83.44,2010-12-31,83.44,713,"Second Quartile"
"829","Intel Celeron 450 @ 2.20GHz",2018-04-22,225,2021-05-31,38.99,415,"Second Quartile"
"830","Intel Core2 Duo E6320 @ 1.86GHz",2017-11-18,157.95,2021-05-18,39.99,717,"Second Quartile"
"831","AMD Athlon 5350 APU",2014-09-19,64.99,2016-10-22,42.99,1783,"Second Quartile"
"832","Intel Celeron G460 @ 1.80GHz",2017-09-17,19.59,2019-01-02,11.19,469,"First Quartile"
"833","Intel Core2 Duo E6300 @ 1.86GHz",2014-11-14,46.99,2021-05-30,42.5,638,"First Quartile"
"834","Intel Pentium E2160 @ 1.80GHz",2014-11-14,33.99,2021-05-30,12.94,638,"First Quartile"
"835","Intel Core2 Duo E4300 @ 1.80GHz",2014-11-14,46.99,2021-05-30,42.5,593,"First Quartile"
"836","AMD Athlon 64 X2 Dual Core 3600+",2008-12-31,68.25,2008-12-31,68.25,622,"Second Quartile"
"837","AMD Athlon X2 Dual Core BE-2300",2009-03-31,89.95,2009-03-31,89.95,570,"Third Quartile"
"838","AMD Athlon II X2 250u",2010-03-31,24.95,2010-03-31,24.95,597,"First Quartile"
"839","AMD Athlon 64 FX-74",2009-03-31,499.5,2009-03-31,499.5,972,"Third Quartile"
"840","Intel Celeron 430 @ 1.80GHz",2010-09-02,41.99,2021-05-30,57.99,280,"First Quartile"
"841","AMD Athlon 64 3000+",2008-12-31,20,2008-12-31,20,334,"First Quartile"
"842","AMD Sempron LE-1300",2010-09-02,35.99,2010-10-15,24.99,417,"First Quartile"
"843","Intel Pentium E2140 @ 1.60GHz",2015-02-08,39.99,2021-05-30,159,561,"First Quartile"
"844","Intel Celeron E1200 @ 1.60GHz",2016-07-01,75,2018-04-22,225,516,"First Quartile"
"845","AMD Sempron LE-1200",2009-03-31,14.95,2009-03-31,14.95,349,"First Quartile"
"846","AMD Athlon 5150 APU",2014-10-01,49.99,2016-10-12,39.99,1388,"First Quartile"
"847","Intel Pentium Extreme Edition 955 @ 3.46GHz",2009-06-30,31.23,2009-06-30,31.23,469,"First Quartile"
"848","AMD Sempron LE-1100",2009-03-31,34.95,2009-03-31,34.95,315,"First Quartile"
"849","AMD Sempron LE-1250",2009-03-31,99.99,2009-03-31,99.99,301,"Third Quartile"
"850","AMD Athlon 64 FX-55",2009-03-31,65,2009-03-31,65,404,"Third Quartile"
"851","AMD Athlon LE-1640",2009-03-31,89.95,2009-03-31,89.95,430,"Third Quartile"
"852","AMD Sempron LE-1150",2009-03-31,14.94,2009-03-31,14.94,251,"First Quartile"
"853","AMD Sempron 2650 APU",2014-09-19,39.99,2022-07-23,114,574,"First Quartile"
"854","AMD Athlon LE-1620",2009-03-31,18,2009-03-31,18,421,"First Quartile"
"855","Intel Celeron 420 @ 1.60GHz",2010-12-04,139.99,2021-05-30,76.99,235,"Second Quartile"
"856","AMD Athlon 1640B",2009-06-30,50,2009-06-30,50,412,"Second Quartile"
"857","AMD Sempron 3000+",2008-12-31,34.95,2008-12-31,34.95,286,"First Quartile"
"858","AMD Sempron 3200+",2009-03-31,124.68,2009-03-31,124.68,251,"Third Quartile"
"859","AMD Sempron 3850 APU",2014-11-14,35.99,2022-07-06,47.57,1142,"First Quartile"
"860","Intel Celeron 440 @ 2.00GHz",2009-03-31,34.99,2009-03-31,34.99,368,"Second Quartile"
"861","AMD Athlon 64 3700+",2008-12-31,89.95,2008-12-31,89.95,394,"Second Quartile"
"862","AMD Athlon LE-1600",2009-03-31,21,2009-03-31,21,412,"First Quartile"
"863","AMD Sempron 3800+",2008-12-31,14.99,2008-12-31,14.99,360,"First Quartile"
"864","AMD Sempron 2800+",2008-12-31,29.95,2008-12-31,29.95,243,"First Quartile"
"865","AMD Sempron 2500+",2009-03-31,59.95,2009-03-31,59.95,207,"Second Quartile"
"866","AMD Athlon XP 3000+",2009-03-31,79.7,2009-03-31,79.7,262,"Third Quartile"
"867","AMD Sempron 3300+",2008-12-31,20,2008-12-31,20,315,"First Quartile"
"868","AMD Sempron 3100+",2009-03-31,65,2009-03-31,65,298,"Third Quartile"
"869","AMD Sempron 3600+",2009-03-31,15,2009-03-31,15,364,"First Quartile"
"870","AMD Sempron 3400+",2008-12-31,86.68,2008-12-31,86.68,292,"Second Quartile"
"871","AMD Sempron 2600+",2008-12-31,34.95,2008-12-31,34.95,253,"First Quartile"
"872","AMD Sempron 2400+",2008-12-31,12.99,2008-12-31,12.99,205,"First Quartile"
"873","AMD Sempron 2300+",2009-03-31,45,2009-03-31,45,207,"Second Quartile"
"874","AMD Athlon XP 2000+",2009-03-31,58.99,2009-03-31,58.99,195,"Second Quartile"
"875","Intel Atom E3825 @ 1.33GHz",2014-06-30,70.32,2014-06-30,70.32,378,"Second Quartile"
"876","AMD Athlon 2650e",2009-03-31,19,2009-03-31,19,274,"First Quartile"
"877","AMD Athlon XP 1800+",2009-03-31,50.95,2009-03-31,50.95,195,"Second Quartile"
"878","Intel Atom D510 @ 1.66GHz",2010-03-31,97.16,2010-03-31,97.16,406,"Second Quartile"
"879","AMD Sempron 2200+",2009-03-31,39.95,2009-03-31,39.95,184,"Second Quartile"
"880","AMD Athlon XP 1700+",2009-03-31,51.25,2009-03-31,51.25,176,"Second Quartile"
"881","Intel Atom D425 @ 1.80GHz",2011-03-31,992.98,2011-03-31,992.98,199,"Third Quartile"
"882","Intel Pentium 4 1700MHz",2009-03-31,99.99,2009-03-31,99.99,100,"Third Quartile"
"883","Intel Atom E3815 @ 1.46GHz",2014-06-30,135,2014-06-30,135,184,"Second Quartile"
"884","AMD Sempron 3500+",2009-03-31,24.99,2009-03-31,24.99,232,"First Quartile"
"885","Intel Atom D410 @ 1.66GHz",2010-03-31,635.99,2010-03-31,635.99,180,"Third Quartile"
